	#feature_id	TPM	gene
0	ENSG00000000457.14	25.898041	SCYL3
1	ENSG00000000460.17	1.253131	FIRRM
2	ENSG00000000938.13	1.044276	FGR
3	ENSG00000000971.16	7.309931	CFH
4	ENSG00000001460.18	43.441875	STPG1
5	ENSG00000001461.17	101.921321	NIPAL3
6	ENSG00000004455.17	91.060853	AK2
7	ENSG00000004487.18	25.898041	KDM1A
8	ENSG00000006555.11	0.208855	TTC22
9	ENSG00000007341.19	23.182924	ST7L
10	ENSG00000007923.17	127.610507	DNAJC11
11	ENSG00000007933.13	0.208855	FMO3
12	ENSG00000008118.10	3.132828	CAMK1G
13	ENSG00000008128.23	2.088552	CDK11A
14	ENSG00000008130.15	23.391779	NADK
15	ENSG00000009307.17	1125.729348	CSDE1
16	ENSG00000009709.12	0.208855	PAX7
17	ENSG00000009780.16	24.853765	FAM76A
18	ENSG00000010072.16	12.1136	SPRTN
19	ENSG00000010165.20	28.613158	METTL13
20	ENSG00000010803.16	22.138648	SCMH1
21	ENSG00000011007.13	90.016577	ELOA
22	ENSG00000011009.11	62.447695	LYPLA2
23	ENSG00000011021.23	69.966481	CLCN6
24	ENSG00000014914.21	3.341683	MTMR11
25	ENSG00000018625.15	124.268824	ATP1A2
26	ENSG00000020129.16	158.312216	NCDN
27	ENSG00000020633.19	0.41771	RUNX3
28	ENSG00000023572.10	10.860469	GLRX2
29	ENSG00000023902.14	3.132828	PLEKHO1
30	ENSG00000023909.10	13.993296	GCLM
31	ENSG00000025800.14	86.257184	KPNA6
32	ENSG00000027869.12	2.297407	SH2D2A
33	ENSG00000028137.19	5.63909	TNFRSF1B
34	ENSG00000031698.13	209.272877	SARS1
35	ENSG00000033122.21	15.872993	LRRC7
36	ENSG00000035687.10	31.745985	ADSS2
37	ENSG00000036549.13	22.974068	ZZZ3
38	ENSG00000037637.11	28.404303	FBXO42
39	ENSG00000040487.13	14.828717	SLC66A1
40	ENSG00000041988.16	8.771917	THAP3
41	ENSG00000042781.14	84.795198	USH2A
42	ENSG00000043514.17	7.727641	TRIT1
43	ENSG00000047410.14	156.01481	TPR
44	ENSG00000048707.15	86.048329	VPS13D
45	ENSG00000049089.15	191.311333	COL9A2
46	ENSG00000049239.13	9.398483	H6PD
47	ENSG00000049245.13	33.416827	VAMP3
48	ENSG00000049246.15	114.034921	PER3
49	ENSG00000050628.21	3.132828	PTGER3
50	ENSG00000052723.12	43.024164	SIKE1
51	ENSG00000053371.13	16.290703	AKR7A2
52	ENSG00000053372.5	6.892221	MRTO4
53	ENSG00000054116.12	55.555474	TRAPPC3
54	ENSG00000054118.15	257.10071	THRAP3
55	ENSG00000054267.22	119.882866	ARID4B
56	ENSG00000054277.14	1.461986	OPN3
57	ENSG00000054282.16	13.157876	SDCCAG8
58	ENSG00000054392.13	11.695889	HHAT
59	ENSG00000054523.19	326.440626	KIF1B
60	ENSG00000055070.17	180.450864	SZRD1
61	ENSG00000057252.13	31.954841	SOAT1
62	ENSG00000057757.10	104.427583	PITHD1
63	ENSG00000058453.17	64.536247	CROCC
64	ENSG00000058668.15	157.059085	ATP2B4
65	ENSG00000058673.17	93.35826	ZC3H11A
66	ENSG00000058799.15	6.265655	YIPF1
67	ENSG00000058804.12	28.613158	NDC1
68	ENSG00000059588.10	8.980772	TARBP1
69	ENSG00000060642.12	15.246427	PIGV
70	ENSG00000060656.20	24.227199	PTPRU
71	ENSG00000060688.13	86.048329	SNRNP40
72	ENSG00000060718.22	21.720937	COL11A1
73	ENSG00000064703.13	63.700826	DDX20
74	ENSG00000065135.12	108.186976	GNAI3
75	ENSG00000065183.16	27.986592	WDR3
76	ENSG00000065243.20	88.13688	PKN2
77	ENSG00000065526.12	76.649846	SPEN
78	ENSG00000065600.13	17.334979	PACC1
79	ENSG00000065978.19	837.718074	YBX1
80	ENSG00000066027.12	22.138648	PPP2R5A
81	ENSG00000066056.14	1.253131	TIE1
82	ENSG00000066135.13	51.587226	KDM4A
83	ENSG00000066136.21	41.979889	NFYC
84	ENSG00000066185.13	3.341683	ZMYND12
85	ENSG00000066294.15	0.626566	CD84
86	ENSG00000066322.15	6.0568	ELOVL1
87	ENSG00000066557.6	49.289819	LRRC40
88	ENSG00000067208.16	23.600634	EVI5
89	ENSG00000067334.14	141.812658	DNTTIP2
90	ENSG00000067533.6	12.53131	RRP15
91	ENSG00000067606.17	56.18204	PRKCZ
92	ENSG00000067704.10	128.237072	IARS2
93	ENSG00000069248.12	76.023281	NUP133
94	ENSG00000069275.13	410.818113	NUCKS1
95	ENSG00000069424.16	74.77015	KCNAB2
96	ENSG00000069702.11	6.892221	TGFBR3
97	ENSG00000069812.11	2.715117	HES2
98	ENSG00000070759.17	7.309931	TESK2
99	ENSG00000070785.17	47.410123	EIF2B3
100	ENSG00000070831.17	221.177622	CDC42
101	ENSG00000070886.12	5.847945	EPHA8
102	ENSG00000072694.22	0.626566	FCGR2B
103	ENSG00000073756.13	1.461986	PTGS2
104	ENSG00000074800.16	1624.057776	ENO1
105	ENSG00000074964.17	11.278179	ARHGEF10L
106	ENSG00000075151.24	51.378371	EIF4G3
107	ENSG00000075391.17	111.528659	RASAL2
108	ENSG00000075945.13	225.354725	KIFAP3
109	ENSG00000076258.10	0.835421	FMO4
110	ENSG00000076321.11	43.65073	KLHL20
111	ENSG00000076356.7	24.018344	PLXNA2
112	ENSG00000076864.21	70.175336	RAP1GAP
113	ENSG00000077152.11	1.044276	UBE2T
114	ENSG00000077157.22	46.365847	PPP1R12B
115	ENSG00000077254.14	178.362312	USP33
116	ENSG00000077522.15	4.594814	ACTN2
117	ENSG00000077549.19	322.890088	CAPZB
118	ENSG00000077585.14	159.774203	GPR137B
119	ENSG00000078369.18	914.36792	GNB1
120	ENSG00000078618.23	258.771552	NRDC
121	ENSG00000078808.19	113.617211	SDF4
122	ENSG00000078900.15	1.879697	TP73
123	ENSG00000079277.22	5.430234	MKNK1
124	ENSG00000079335.20	16.499558	CDC14A
125	ENSG00000079739.17	56.59975	PGM1
126	ENSG00000080947.15	6.265655	CROCCP3
127	ENSG00000081019.14	101.503611	RSBN1
128	ENSG00000081026.19	55.346619	MAGI3
129	ENSG00000081237.20	1.253131	PTPRC
130	ENSG00000081248.12	1.044276	CACNA1S
131	ENSG00000081277.13	138.053265	PKP1
132	ENSG00000081692.13	13.575586	JMJD4
133	ENSG00000081721.12	17.961544	DUSP12
134	ENSG00000081870.12	5.012524	IFT25
135	ENSG00000081985.13	0.41771	IL12RB2
136	ENSG00000082482.14	0.41771	KCNK2
137	ENSG00000082497.12	0.835421	SERTAD4
138	ENSG00000082512.15	1.879697	TRAF5
139	ENSG00000083444.17	33.625682	PLOD1
140	ENSG00000084070.12	25.689186	SMAP2
141	ENSG00000084072.17	58.897157	PPIE
142	ENSG00000084073.10	117.794314	ZMPSTE24
143	ENSG00000084623.12	34.878813	EIF3I
144	ENSG00000084628.10	1.879697	NKAIN1
145	ENSG00000084636.18	23.182924	COL16A1
146	ENSG00000084652.16	36.131944	TXLNA
147	ENSG00000085433.17	170.425816	WDR47
148	ENSG00000085465.13	1.253131	OVGP1
149	ENSG00000085491.17	90.434287	SLC25A24
150	ENSG00000085552.18	156.43252	IGSF9
151	ENSG00000085831.16	7.936496	TTC39A
152	ENSG00000085832.17	68.922205	EPS15
153	ENSG00000085840.13	1.044276	ORC1
154	ENSG00000085998.15	59.941433	POMGNT1
155	ENSG00000086015.23	45.948137	MAST2
156	ENSG00000086619.15	26.106896	ERO1B
157	ENSG00000088035.18	16.081848	ALG6
158	ENSG00000088280.20	8.145352	ASAP3
159	ENSG00000090020.11	12.53131	SLC9A1
160	ENSG00000090104.12	24.018344	RGS1
161	ENSG00000090273.14	155.597099	NUDC
162	ENSG00000090432.7	43.859585	MUL1
163	ENSG00000090621.15	37.802785	PABPC4
164	ENSG00000090686.16	109.648963	USP48
165	ENSG00000091483.8	71.428467	FH
166	ENSG00000092607.15	0.626566	TBX15
167	ENSG00000092621.13	42.606454	PHGDH
168	ENSG00000092847.13	48.454399	AGO1
169	ENSG00000092850.12	0.208855	TEKT2
170	ENSG00000092853.14	50.751806	CLSPN
171	ENSG00000092969.12	133.667307	TGFB2
172	ENSG00000092978.11	16.499558	GPATCH2
173	ENSG00000094963.14	1.879697	FMO2
174	ENSG00000094975.14	118.003169	SUCO
175	ENSG00000097021.20	39.055916	ACOT7
176	ENSG00000097033.14	51.169516	SH3GLB1
177	ENSG00000097046.13	28.404303	CDC7
178	ENSG00000097096.9	18.1704	SYDE2
179	ENSG00000099260.12	10.860469	PALMD
180	ENSG00000107404.21	12.94902	DVL1
181	ENSG00000116128.12	22.138648	BCL9
182	ENSG00000116133.13	96.491087	DHCR24
183	ENSG00000116138.13	19.214675	DNAJC16
184	ENSG00000116141.17	56.808605	MARK1
185	ENSG00000116147.17	53.675778	TNR
186	ENSG00000116151.14	2.923972	MORN1
187	ENSG00000116157.6	1.253131	GPX7
188	ENSG00000116161.18	139.515251	CACYBP
189	ENSG00000116171.19	227.443277	SCP2
190	ENSG00000116183.11	4.385959	PAPPA2
191	ENSG00000116191.19	140.141817	RALGPS2
192	ENSG00000116194.13	37.17622	ANGPTL1
193	ENSG00000116198.14	121.762562	CEP104
194	ENSG00000116199.12	13.575586	FAM20B
195	ENSG00000116205.14	11.278179	TCEANC2
196	ENSG00000116209.12	334.794832	TMEM59
197	ENSG00000116212.15	7.101076	LRRC42
198	ENSG00000116213.16	33.625682	WRAP73
199	ENSG00000116221.15	32.790261	MRPL37
200	ENSG00000116237.16	62.029985	ICMT
201	ENSG00000116251.11	57.017461	RPL22
202	ENSG00000116254.18	28.613158	CHD5
203	ENSG00000116260.17	102.756742	QSOX1
204	ENSG00000116266.11	191.311333	STXBP3
205	ENSG00000116273.6	28.195448	PHF13
206	ENSG00000116285.13	181.49514	ERRFI1
207	ENSG00000116288.13	106.098425	PARK7
208	ENSG00000116299.17	0.626566	ELAPOR1
209	ENSG00000116337.20	134.085017	AMPD2
210	ENSG00000116350.18	133.667307	SRSF4
211	ENSG00000116353.16	35.505378	MECR
212	ENSG00000116396.15	22.556358	KCNC4
213	ENSG00000116406.20	58.270592	EDEM3
214	ENSG00000116455.14	29.657434	WDR77
215	ENSG00000116459.11	103.801018	ATP5PB
216	ENSG00000116473.15	54.093488	RAP1A
217	ENSG00000116478.12	59.523723	HDAC1
218	ENSG00000116489.13	114.034921	CAPZA1
219	ENSG00000116497.18	25.48033	S100PBP
220	ENSG00000116514.17	5.012524	RNF19B
221	ENSG00000116521.11	38.638206	SCAMP3
222	ENSG00000116525.14	17.752689	TRIM62
223	ENSG00000116539.14	303.048847	ASH1L
224	ENSG00000116544.12	1.044276	DLGAP3
225	ENSG00000116560.11	100.25048	SFPQ
226	ENSG00000116574.6	5.63909	RHOU
227	ENSG00000116580.20	38.220496	GON4L
228	ENSG00000116584.21	32.372551	ARHGEF2
229	ENSG00000116586.12	6.0568	LAMTOR2
230	ENSG00000116604.19	71.428467	MEF2D
231	ENSG00000116641.18	34.252247	DOCK7
232	ENSG00000116649.10	2.715117	SRM
233	ENSG00000116652.6	7.101076	DLEU2L
234	ENSG00000116661.11	18.58811	FBXO2
235	ENSG00000116663.11	7.101076	FBXO6
236	ENSG00000116667.15	45.321571	C1orf21
237	ENSG00000116668.13	10.233903	SWT1
238	ENSG00000116670.15	7.518786	MAD2L2
239	ENSG00000116675.16	209.064022	DNAJC6
240	ENSG00000116678.20	8.563062	LEPR
241	ENSG00000116679.16	80.618094	IVNS1ABP
242	ENSG00000116685.16	6.265655	KIAA2013
243	ENSG00000116688.18	200.709815	MFN2
244	ENSG00000116691.11	19.632386	MIIP
245	ENSG00000116698.22	94.611391	SMG7
246	ENSG00000116701.15	0.41771	NCF2
247	ENSG00000116703.14	382.204955	PDC
248	ENSG00000116704.8	67.251364	SLC35D1
249	ENSG00000116711.10	1.044276	PLA2G4A
250	ENSG00000116717.13	10.651614	GADD45A
251	ENSG00000116729.14	153.717403	WLS
252	ENSG00000116731.23	71.428467	PRDM2
253	ENSG00000116741.8	33.416827	RGS2
254	ENSG00000116745.7	1.879697	RPE65
255	ENSG00000116747.13	255.221014	RO60
256	ENSG00000116750.14	171.052382	UCHL5
257	ENSG00000116752.6	62.029985	BCAS2
258	ENSG00000116754.14	141.186093	SRSF11
259	ENSG00000116761.12	12.53131	CTH
260	ENSG00000116771.6	0.41771	AGMAT
261	ENSG00000116774.12	0.41771	OLFML3
262	ENSG00000116783.15	1.879697	TNNI3K
263	ENSG00000116786.13	12.1136	PLEKHM2
264	ENSG00000116791.14	49.289819	CRYZ
265	ENSG00000116793.16	12.53131	PHTF1
266	ENSG00000116809.12	14.411007	ZBTB17
267	ENSG00000116815.16	1.461986	CD58
268	ENSG00000116819.9	7.309931	TFAP2E
269	ENSG00000116830.12	12.322455	TTF2
270	ENSG00000116852.15	41.771033	KIF21B
271	ENSG00000116857.17	172.096657	TMEM9
272	ENSG00000116863.11	29.866289	ADPRS
273	ENSG00000116871.16	48.245544	MAP7D1
274	ENSG00000116874.12	13.993296	WARS2
275	ENSG00000116885.18	18.58811	OSCP1
276	ENSG00000116898.12	6.0568	MRPS15
277	ENSG00000116903.7	55.346619	EXOC8
278	ENSG00000116906.13	71.846177	GNPAT
279	ENSG00000116918.15	134.293872	TSNAX
280	ENSG00000116922.15	13.784441	AIRIM
281	ENSG00000116954.8	31.11942	RRAGC
282	ENSG00000116962.15	8.145352	NID1
283	ENSG00000116977.19	62.23884	LGALS8
284	ENSG00000116981.4	0.41771	NT5C1A
285	ENSG00000116983.13	82.915501	HPCAL4
286	ENSG00000116984.15	43.024164	MTR
287	ENSG00000116985.12	0.208855	BMP8B
288	ENSG00000116990.11	3.341683	MYCL
289	ENSG00000117000.9	108.604687	RLF
290	ENSG00000117010.17	1.253131	ZNF684
291	ENSG00000117013.17	3.968248	KCNQ4
292	ENSG00000117016.10	32.372551	RIMS3
293	ENSG00000117020.19	60.359143	AKT3
294	ENSG00000117036.12	12.53131	ETV3
295	ENSG00000117054.15	151.419996	ACADM
296	ENSG00000117069.15	55.973185	ST6GALNAC5
297	ENSG00000117114.21	46.574702	ADGRL2
298	ENSG00000117115.13	215.120822	PADI2
299	ENSG00000117118.10	40.100192	SDHB
300	ENSG00000117122.14	7.518786	MFAP2
301	ENSG00000117133.11	27.568882	RPF1
302	ENSG00000117139.18	447.576622	KDM5B
303	ENSG00000117143.13	52.840357	UAP1
304	ENSG00000117151.13	35.505378	CTBS
305	ENSG00000117152.14	29.866289	RGS4
306	ENSG00000117153.16	78.529543	KLHL12
