pb	tx_cat	pr_splice_cat	tx_subcat	pr_splice_subcat	tx_tss_diff	tx_tts_diff	tx_tss_gene_diff	tx_tts_gene_diff	pr_nterm_diff	pr_cterm_diff	pr_nterm_gene_diff	pr_cterm_gene_diff	tx_transcripts	pr_transcripts	tx_gene	pr_gene	tx_num_exons	pr_num_exons	is_nmd	num_junc_after_stop_codon	num_nt_after_stop_codon	tx_5hang	tx_3hang	pr_nhang	pr_chang
ENST00000484667.2	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000484667.2	ENST00000484667.2	ENSG00000188290.11	ENSG00000188290.11	3	3	FALSE	0	100	0	0	0	0
ENST00000400929.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000400929.6	ENST00000347370.6	ENSG00000160087.21	ENSG00000160087.21	6	5	FALSE	0	436	0	0	0	0
ENST00000461142.3	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	0	964	0	-964	ENST00000461142.3	ENST00000477894.5	ENSG00000160087.21	ENSG00000160087.21	3	2	FALSE	0	546	0	0	0	119
ENST00000339381.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000339381.6	ENST00000339381.6	ENSG00000169962.5	ENSG00000169962.5	6	6	FALSE	0	919	0	0	0	0
ENST00000482352.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000482352.1	ENST00000482352.1	ENSG00000242485.6	ENSG00000242485.6	3	3	FALSE	0	584	0	0	0	0
ENST00000355826.10	full-splice_match	novel_in_catalog	multi-exon	intron_retention	0	0	0	0	NA	NA	0	0	ENST00000355826.10	novel	ENSG00000197530.13	ENSG00000197530.13	20	20	FALSE	0	209	0	0		
ENST00000477990.1	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	0	8187	0	-7183	ENST00000477990.1	ENST00000489635.5	ENSG00000197530.13	ENSG00000197530.13	2	2	FALSE	0	2710	0	0	0	1
ENST00000378585.7	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000378585.7	ENST00000378585.7	ENSG00000187730.9	ENSG00000187730.9	9	9	FALSE	0	558	0	0	0	0
ENST00000638604.1	full-splice_match	incomplete-splice_match	multi-exon	5prime_fragment	0	0	0	0	0	2266	0	-1248	ENST00000638604.1	ENST00000638771.1	ENSG00000187730.9	ENSG00000187730.9	8	5	TRUE	3	1546	0	0	0	278
ENST00000638771.1	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000638771.1	ENST00000638771.1	ENSG00000187730.9	ENSG00000187730.9	8	8	FALSE	0	207	0	0	0	0
ENST00000461106.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000461106.6	ENST00000461106.6	ENSG00000067606.17	ENSG00000067606.17	15	15	FALSE	0	452	0	0	0	0
ENST00000400919.7	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000400919.7	ENST00000400919.7	ENSG00000162585.17	ENSG00000162585.17	3	3	FALSE	0	846	0	0	0	0
ENST00000400918.7	full-splice_match	full-splice_match	multi-exon	multi-exon	0	79	0	-79	0	0	0	0	ENST00000400918.7	ENST00000400918.7	ENSG00000162585.17	ENSG00000162585.17	4	4	FALSE	0	222	0	-79	0	0
ENST00000378531.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000378531.8	ENST00000378531.8	ENSG00000116151.14	ENSG00000116151.14	14	14	FALSE	0	154	0	0	0	0
ENST00000378512.5	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000378512.5	ENST00000378512.5	ENSG00000157916.20	ENSG00000157916.20	7	5	TRUE	1	843	0	0	0	0
ENST00000605895.6	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000605895.6	ENST00000605895.6	ENSG00000157916.20	ENSG00000157916.20	7	6	FALSE	0	2440	0	0	0	0
ENST00000288774.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000288774.8	ENST00000288774.8	ENSG00000157911.11	ENSG00000157911.11	6	6	FALSE	0	1867	0	0	0	0
ENST00000447513.7	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	0	0	0	0	ENST00000447513.7	ENST00000447513.7	ENSG00000157911.11	ENSG00000157911.11	6	6	FALSE	0	1857	0	0	0	0
ENST00000419916.8	full-splice_match	full-splice_match	multi-exon	multi-exon	0	0	0	0	-90	0	0	0	ENST00000419916.8	ENST00000419916.8	ENSG00000157870.17	ENSG00000157870.17	7	7	FALSE	0	2063	0	0	90	0
ENST00000474659.5	full-splice_match	incomplete-splice_match	multi-exon	3prime_fragment	0	0	0	0	1554	-13	1554	0	ENST00000474659.5	ENST00000378424.9	ENSG00000157870.17	ENSG00000157870.17	7	4	FALSE	0	593	0	0	-104	13
ENST00000493183.5	full-splice_match	incomplete-splice_match	multi-exon	3prime_fragment	0	0	0	0	1554	-52	1554	52	ENST00000493183.5	ENST00000419916.8	ENSG00000157870.17	ENSG00000157870.17	7	4	FALSE	0	564	0	0	-50	52
