Transcript stable ID	Transcript type	Transcript length (including UTRs and CDS)	Gene name
ENST00000361390	protein_coding	956	MT-ND1
ENST00000361453	protein_coding	1042	MT-ND2
ENST00000361624	protein_coding	1542	MT-CO1
ENST00000361739	protein_coding	684	MT-CO2
ENST00000361851	protein_coding	207	MT-ATP8
ENST00000361899	protein_coding	681	MT-ATP6
ENST00000362079	protein_coding	784	MT-CO3
ENST00000361227	protein_coding	346	MT-ND3
ENST00000361335	protein_coding	297	MT-ND4L
ENST00000361381	protein_coding	1378	MT-ND4
ENST00000361567	protein_coding	1812	MT-ND5
ENST00000361681	protein_coding	525	MT-ND6
ENST00000361789	protein_coding	1141	MT-CYB
ENST00000614336	protein_coding	3728	
ENST00000612640	protein_coding	2116	
ENST00000616520	protein_coding	1566	KIR2DL3
ENST00000616175	protein_coding	1320	KIR2DL1
ENST00000614792	protein_coding	1596	KIR2DL3
ENST00000620501	protein_coding	1033	KIR3DL2
ENST00000612483	protein_coding	666	KIR3DL2
ENST00000576030	protein_coding	5235	INTS3
ENST00000571768	protein_coding	3597	INTS3
ENST00000576422	protein_coding	3442	INTS3
ENST00000631244	protein_coding	2401	PCMTD2
ENST00000629502	protein_coding	1321	PCMTD2
ENST00000627852	protein_coding	476	PCMTD2
ENST00000627415	protein_coding	2455	PCMTD2
ENST00000628846	protein_coding	572	PCMTD2
ENST00000628717	protein_coding	584	PCMTD2
ENST00000629544	protein_coding	541	PCMTD2
ENST00000615818	protein_coding	1540	PCMTD2
ENST00000618274	protein_coding	1534	PCMTD2
ENST00000614053	protein_coding	1601	KIR2DS5
ENST00000611311	protein_coding	1630	KIR2DS4
ENST00000612783	protein_coding	1630	KIR2DS4
ENST00000613265	protein_coding	1193	KIR2DS3
ENST00000618567	protein_coding	1581	KIR2DL4
ENST00000611233	protein_coding	720	NCR1
ENST00000616389	protein_coding	678	NCR1
ENST00000621993	protein_coding	404	NCR1
ENST00000611122	protein_coding	361	NCR1
ENST00000618796	protein_coding	1371	KIR2DL2
ENST00000616831	protein_coding	1593	KIR2DL2
ENST00000618297	protein_coding	1346	KIR2DL4
ENST00000618607	protein_coding	1566	KIR2DL4
ENST00000621258	protein_coding	1656	KIR2DL4
ENST00000621773	protein_coding	1189	KIR2DL4
ENST00000621182	protein_coding	1474	KIR2DL4
ENST00000615208	protein_coding	1874	KIR3DL2
ENST00000617684	protein_coding	1834	KIR3DL2
ENST00000617100	protein_coding	1238	KIR3DL3
ENST00000612415	protein_coding	1863	KIR3DL1
ENST00000620450	protein_coding	1810	KIR3DL1
ENST00000616375	protein_coding	1536	KIR2DL4
ENST00000620369	protein_coding	1637	KIR2DL4
ENST00000616354	protein_coding	1581	KIR2DL4
ENST00000620486	protein_coding	1497	KIR2DL4
ENST00000619043	protein_coding	1040	KIR2DL4
ENST00000610662	protein_coding	1191	KIR2DL4
ENST00000621071	protein_coding	1658	KIR3DL1
ENST00000619931	protein_coding	1466	KIR3DL1
ENST00000620834	protein_coding	1811	KIR3DL1
ENST00000614564	protein_coding	1372	KIR2DL1
ENST00000621484	protein_coding	1566	KIR2DL4
ENST00000613149	protein_coding	1496	KIR2DL4
ENST00000614680	protein_coding	1443	KIR2DL4
