ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Coding_prob
TCONS_00000280_ORF_1_ORF_1	2379	+	3	510	1355	846	1.2202	0.547626933601039	0.999880890437405
TCONS_00000280_ORF_1_ORF_2	2379	+	3	1866	2150	285	0.7337	-0.0854805324662359	0.0595279739856303
TCONS_00000280_ORF_1_ORF_3	2379	+	2	1496	1747	252	0.7127	-0.0414177474302285	0.0504915284721906
TCONS_00000280_ORF_1_ORF_4	2379	+	2	2177	2329	153	0.4466	-0.0760476204949403	0.00565711501509901
TCONS_00000280_ORF_1_ORF_5	2379	+	2	1883	2032	150	0.694	-0.00511388173036313	0.0194654601496479
TCONS_00000280_ORF_1_ORF_6	2379	+	3	1467	1607	141	0.6558	-0.0271796396290389	0.0135767121880915
TCONS_00000280_ORF_1_ORF_7	2379	+	3	1734	1841	108	0.4596	-0.0468334961217341	0.00427568043618437
TCONS_00000280_ORF_1_ORF_8	2379	+	1	2068	2142	75	0.6576	0.149630877034902	0.018984125998014
TCONS_00000280_ORF_1_ORF_9	2379	+	2	293	361	69	0.8787	0.088388076472849	0.026043931868508
TCONS_00000280_ORF_1_ORF_10	2379	+	1	2320	2379	60	0.8848	-0.210303630690624	0.0040146287272308
TCONS_00000280_ORF_1_ORF_11	2379	+	1	1879	1935	57	0.9109	0.198997364127296	0.0486315628727362
TCONS_00000280_ORF_1_ORF_12	2379	+	1	1210	1260	51	1.1862	0.145309831869569	0.0818448865229504
TCONS_00000233_ORF_1_ORF_1	3621	+	1	37	3159	3123	1.2391	0.450502365127526	1
TCONS_00000233_ORF_1_ORF_2	3621	+	2	248	538	291	0.8708	0.0129903409031774	0.155676743164798
TCONS_00000233_ORF_1_ORF_3	3621	+	2	608	757	150	1.2808	-0.100939833452893	0.072678419423995
TCONS_00000233_ORF_1_ORF_4	3621	+	3	3486	3620	135	0.7523	-0.542820152214043	0.000733203380417414
TCONS_00000233_ORF_1_ORF_5	3621	+	2	1436	1555	120	0.7966	0.0631955224246687	0.0277874154994194
TCONS_00000233_ORF_1_ORF_6	3621	+	3	861	947	87	1.0875	0.0279991782484607	0.0416868584460945
TCONS_00000233_ORF_1_ORF_7	3621	+	2	1559	1636	78	0.9657	-0.221589747901048	0.00565176990513477
TCONS_00000233_ORF_1_ORF_8	3621	+	2	2390	2467	78	1.0113	-0.140499291028732	0.010762692175059
TCONS_00000233_ORF_1_ORF_9	3621	+	3	33	83	51	0.8134	-0.277523426583955	0.00176715674978113
TCONS_00000207_ORF_1_ORF_1	2473	+	1	319	2052	1734	1.1412	0.4445498688555	0.999999985759092
TCONS_00000207_ORF_1_ORF_2	2473	+	2	815	1108	294	1.3082	-0.178345379923642	0.223128008052233
