Transcript length (including UTRs and CDS)	Gene name
71	MT-TF
954	MT-RNR1
69	MT-TV
1559	MT-RNR2
75	MT-TL1
956	MT-ND1
69	MT-TI
72	MT-TQ
68	MT-TM
1042	MT-ND2
68	MT-TW
69	MT-TA
73	MT-TN
66	MT-TC
66	MT-TY
1542	MT-CO1
69	MT-TS1
68	MT-TD
684	MT-CO2
70	MT-TK
207	MT-ATP8
681	MT-ATP6
784	MT-CO3
68	MT-TG
346	MT-ND3
65	MT-TR
297	MT-ND4L
1378	MT-ND4
69	MT-TH
59	MT-TS2
71	MT-TL2
1812	MT-ND5
525	MT-ND6
69	MT-TE
1141	MT-CYB
66	MT-TT
68	MT-TP
119	5S_rRNA
90	
106	U6
3728	
2116	
2404	
2142	
1989	
603	
152	5_8S_rRNA
153	RNA5-8SN5
153	5_8S_rRNA
2405	
1990	
107	U6
1213	
113	U2
144	U1
510	
116	
69	
831	
740	
164	U1
71	
3027	
153	RNA5-8SN4
1806	
3571	
3120	
1426	
291	
1338	
288	
176	U1
101	Y_RNA
2179	
1599	MAFIP
468	RPL23AP45
2195	
372	
351	
294	
2237	
378	LINC01784
1845	PRAMEF11
1417	PRAMEF30P
1108	HNRNPCL1
1642	PRAMEF2
1840	PRAMEF4
1525	PRAMEF10
1592	PRAMEF7
1560	PRAMEF7
107	RNU6-1072P
1139	PRAMEF29P
1720	PRAMEF6
1450	PRAMEF28P
1863	PRAMEF27
1148	HNRNPCL3
1863	PRAMEF25
1840	PRAMEF25
1447	PRAMEF34P
891	PRAMEF35P
1156	HNRNPCL2
384	
1863	PRAMEF26
882	HNRNPCL4
1863	PRAMEF9
2163	PRAMEF13
1331	PRAMEF13
2067	PRAMEF18
1371	PRAMEF31P
1720	PRAMEF5
1068	PRAMEF32P
107	RNU6-771P
1844	PRAMEF8
1706	PRAMEF8
1592	PRAMEF8
1518	PRAMEF33
1452	PRAMEF36P
667	
985	OR9G4
936	OR5G3
918	OR9G3P
946	OR5G1P
760	OR5G4P
880	OR9G2P
918	OR9G1
147	
918	OR9G9
209	LINC02735
939	OR5G5P
163	
711	
621	
4233	GRK1
548	GRK1
3261	GRK1
2579	LINC00552
3627	TOLLIP
3666	TOLLIP
3429	TOLLIP
2283	TOLLIP
1297	TOLLIP
549	TOLLIP
684	TOLLIP
669	TOLLIP
590	TOLLIP
561	TOLLIP
576	TOLLIP
428	TOLLIP
595	TOLLIP
939	TOLLIP-DT
3283	
1458	LINC02689
4089	BRSK2
3211	BRSK2
3163	BRSK2
4528	BRSK2
2091	BRSK2
581	BRSK2
580	BRSK2
3528	BRSK2
3576	BRSK2
1934	BRSK2
600	BRSK2
1842	BRSK2
2319	BRSK2
1956	BRSK2
709	BRSK2
2432	
4455	DUSP8
4824	DUSP8
637	DUSP8
570	KRTAP5-AS1
2265	KRTAP5-AS1
519	KRTAP5-AS1
409	KRTAP5-AS1
754	KRTAP5-AS1
942	KRTAP5-1
1118	KRTAP5-2
899	KRTAP5-3
1181	KRTAP5-4
1156	KRTAP5-5
588	
1432	FAM99A
733	FAM99A
1989	FAM99A
1067	FAM99B
587	LINC02708
3174	MOB2
1745	MOB2
1493	MOB2
795	MOB2
608	MOB2
478	MOB2
587	MOB2
443	TSPY24P
1191	ZNF92P1Y
1145	RBMY3AP
1164	SERBP1P2
868	TSPY12P
279	
1267	DUX4L19
1123	TTTY12
1046	TTTY12
392	TTTY12
866	TTTY12
709	TTTY7B
1367	TTTY7B
1111	TTTY7B
131	
783	OFD1P3Y
720	RBMY2HP
385	
491	TTTY6
336	ELOCP35
1337	SLC9B1P1
1064	USP12PY
512	TTTY23
298	KDM5DP1
1111	TTTY7
1367	TTTY7
709	TTTY7
3060	LINC00279
2421	LINC00279
2503	LINC00279
624	LINC00279
1908	LINC00279
966	LINC00279
473	LINC00279
5792	LINC00279
1267	DUX4L17
1238	PRY
1353	PRY
509	TSPY18P
297	
355	PCMTD1P1
713	
318	HSFY7P
389	
1213	ZNF736P6Y
1237	TUSC2P1
1157	RBMY2AP
3168	TTTY2B
2971	TTTY2B
307	TTTY21
495	PUDPP1
662	
1618	CDY3P
745	TSPY25P
586	CDRT15P10
294	USP9YP22
468	TSPY16P
1745	USP9YP4
2417	USP9Y
5284	USP9Y
9640	USP9Y
882	USP9Y
10036	USP9Y
787	USP9Y
9118	USP9Y
909	USP9Y
2410	USP9Y
333	ELOCP4
1404	RBMY1A3P
249	
259	TTTY20
2340	FAM197Y8
468	FAM197Y8
560	FAM197Y8
1161	TSPY8
435	TSPY8
1125	TSPY8
1895	TSPY8
582	TSPY8
2325	FAM197Y7
467	FAM197Y7
457	
1179	TSPY4
663	TSPY4
1143	TSPY4
1913	TSPY4
593	TSPY4
1179	TSPY9
457	FAM197Y2
457	FAM197Y4
467	FAM197Y4
1238	PRY2
1353	PRY2
1433	OFD1P8Y
1550	RNF19BPY
723	
739	TSPY23P
1306	TUBB1P2
1136	DUX4L31
914	TSPY13P
1247	ACTR3BP1
371	RPS24P1
910	TTTY1B
918	RCC2P2
669	ZNF736P8Y
810	RBMY2OP
1339	EIF1AY
855	EIF1AY
746	EIF1AY
3148	EIF1AY
641	EIF1AY
509	TSPY19P
559	BPY2
1206	BPY2
1010	BPY2
321	BPY2
147	MTND1P12
1151	STSP1
448	
333	ELOCP5
1567	CDY10P
245	CTBP2P1
1766	USP9YP3
424	MTND6P1
500	USP9YP8
464	DLGAP5P1
1651	CDY11P
1922	CDC27P2
318	OFD1P16Y
518	TTTY8B
531	TTTY8B
1676	PABPC1P5
604	TSPY22P
1476	RCC2P1
2384	SHROOM2P1
3168	TTTY2
701	
1642	TTTY18
1153	
1076	
1210	
1023	
199	
1267	DUX4L18
269	
6653	
1034	RBMY2GP
1213	ZNF736P11Y
1491	OFD1P9Y
1848	
265	BPY2DP
1059	RBMY2JP
254	CHEK2P1
261	
324	RBMY2UP
2032	FAM224B
723	ZNF886P
332	ELOCP8
1505	TTTY25P
764	FAM197Y1
386	
745	
2939	
1234	ASS1P6
511	SNX18P1Y
1028	RBMY2NP
910	TTTY1
750	
648	MED14P1
309	HSFY5P
1098	ZNF885P
477	ARSFP1
394	
820	ZNF736P7Y
827	SURF6P1
446	XGY1
243	
1057	
204	ANKRD20A6P
593	
671	
531	TTTY8
518	TTTY8
992	RBMY2KP
731	TSPY21P
269	TTTY19
467	TSPY17P
1346	TTTY4
558	
923	TSPY15P
1591	TTTY22
427	TTTY22
1045	TSPY11P
